Trial,N,Source,Drug,Target,Cancer type,No. of treated patients,Dose,cutoff for all grade,cutoff for grades 3 or higher,All Grade,Grade 3-5,Infusion-related reaction (All Grade),Infusion-related reaction (Grade 3-5),Hypersensitivity (All Grade),Hypersensitivity (Grade 3-5),Influenza-like illness (All Grade),Influenza-like illness (Grade 3-5),Pyrexia (All Grade),Pyrexia (Grade 3-5),Chills (All Grade),Chills (Grade 3-5),Fatigue (All Grade),Fatigue (Grade 3-5),Pruritus (All Grade),Pruritus (Grade 3-5),Weight decreased (All Grade),Weight decreased (Grade 3-5),Insomnia (All Grade),Insomnia (Grade 3-5),Malaise (All Grade),Malaise (Grade 3-5),Uveitis (All Grade),Uveitis (Grade 3-5),Dry mouth (All Grade),Dry mouth (Grade 3-5),Stomatitis (All Grade),Stomatitis (Grade 3-5),Mucosal inflammation   (All Grade),Mucosal inflammation   (Grade 3-5),Hypertension (All Grade),Hypertension (Grade 3-5),Hypotension (All Grade),Hypotension (Grade 3-5),Edema peripheral (All Grade),Edema peripheral (Grade 3-5),Pneumonitis (All Grade),Pneumonitis (Grade 3-5),Dyspnea (All Grade),Dyspnea (Grade 3-5),Cough (All Grade),Cough (Grade 3-5),Pneumonia (All Grade),Pneumonia (Grade 3-5),Hypoxia (All Grade),Hypoxia (Grade 3-5),Decreased appetite (All Grade),Decreased appetite (Grade 3-5),Dehydration (All Grade),Dehydration (Grade 3-5),Nausea (All Grade),Nausea (Grade 3-5),Vomiting (All Grade),Vomiting (Grade 3-5),Diarrhea (All Grade),Diarrhea (Grade 3-5),Constipation (All Grade),Constipation (Grade 3-5),Abdominal pain (All Grade),Abdominal pain (Grade 3-5),Colitis (All Grade),Colitis (Grade 3-5),Alanine aminotransferase increased (ALT) (All Grade),Alanine aminotransferase increased (ALT) (Grade 3-5),Aspartate aminotransferase increased (AST) (All Grade),Aspartate aminotransferase increased (AST) (Grade 3-5),Blood alkaline phosphatase increased  (ALP) (All Grade),Blood alkaline phosphatase increased  (ALP) (Grade 3-5),?-Glutamyl transferase increased (GGT) (All Grade),?-Glutamyl transferase increased (GGT) (Grade 3-5),Pancreatitis   (All Grade),Pancreatitis   (Grade 3-5),Lipase increased (All Grade),Lipase increased (Grade 3-5),Amylase increased (All Grade),Amylase increased (Grade 3-5),Bilirubin increase (All Grade),Bilirubin increase (Grade 3-5),Hepatitis (All Grade),Hepatitis (Grade 3-5),Increased transaminases (All Grade),Increased transaminases (Grade 3-5),Pain (All Grade),Pain (Grade 3-5),Myalgia (All Grade),Myalgia (Grade 3-5),Pain in extremity (All Grade),Pain in extremity (Grade 3-5),Back pain (All Grade),Back pain (Grade 3-5),Arthralgia (All Grade),Arthralgia (Grade 3-5),Rash (All Grade),Rash (Grade 3-5),Rash maculo-papular (All Grade),Rash maculo-papular (Grade 3-5),Erythema (All Grade),Erythema (Grade 3-5),Dry skin (All Grade),Dry skin (Grade 3-5),Vitiligo (All Grade),Vitiligo (Grade 3-5),Alopecia   (All Grade),Alopecia  (Grade 3-5),Headache (All Grade),Headache (Grade 3-5),Dizziness (All Grade),Dizziness (Grade 3-5),Asthenia (All Grade),Asthenia (Grade 3-5),Dysgeusia (All Grade),Dysgeusia (Grade 3-5),Peripheral neuropathy (All Grade),Peripheral neuropathy (Grade 3-5),Thyroiditis (All Grade),Thyroiditis (Grade 3-5),Hypothyroidism (All Grade),Hypothyroidism (Grade 3-5),Hyperthyroidism (All Grade),Hyperthyroidism (Grade 3-5),Blood thyroid-stimulating hormone (TSH) decreased (All Grade),Blood thyroid-stimulating hormone (TSH) decreased (Grade 3-5),Blood thyroid-stimulating (TSH) hormone increased (All Grade),Blood thyroid-stimulating hormone (TSH) increased (Grade 3-5),Hypophysitis (All Grade),Hypophysitis (Grade 3-5),Adrenal insufficiency (All Grade),Adrenal insufficiency (Grade 3-5),Type 1 diabetes (All Grade),Type 1 diabetes (Grade 3-5),Hypopituitarism (All Grade),Hypopituitarism (Grade 3-5),Hyperglycemia (All Grade),Hyperglycemia (Grade 3-5),Autoimmune thyroiditis (All Grade),Autoimmune thyroiditis (Grade 3-5),Blood creatinine increased (All Grade),Blood creatinine increased (Grade 3-5),White blood cell decreased (All Grade),White blood cell decreased (Grade 3-5),Platelet count decreased (All Grade),Platelet count decreased (Grade 3-5),Anemia (All Grade),Anemia (Grade 3-5),Lymphopenia (All Grade),Lymphopenia (Grade 3-5),Neutropenia (All Grade),Neutropenia (Grade 3-5),Hyponatremia (All Grade),Hyponatremia (Grade 3-5),Hypophosphatemia (All Grade),Hypophosphatemia (Grade 3-5)
5,287,2015-Borghaei-N Engl J Med,Nivolumab,PD-1,Lung cancer,287,3 mg/kg Q2W,28,28,199,30,8,0,1,0,  ,  ,8,0,  ,  ,46,3,24,0,  ,  ,  ,  ,,,  ,  ,  ,  ,3,1,2,0,  ,  ,  ,  ,8,0,4,3,  ,  ,  ,  ,,,,,30,0,  ,  ,34,2,15,0,22,2,13,0,  ,  ,  ,  ,9,0,9,1,2,0,2,2,,,  ,  ,,,,,,,,,4,0,7,1,  ,  ,  ,  ,16,0,27,1,,,4,0,,  ,  ,  ,1,0,  ,  ,  ,  ,29,1,5,0,3,0,  ,  ,19,0,4,0,1,0,6,0,  ,  ,  ,  ,,,,,  ,  ,,,5,0,0,0,  ,  ,6,1,  ,  ,1,0,  ,  ,  ,  
6,131,2015-Brahmer-N Engl J Med,Nivolumab,PD-1,Lung cancer,131,3 mg/kg Q2W,6,6,76,9,1,0,0,0,,,6,0,,,21,1,,,,,,,,,,,,,,,3,0,,,,,2,0,6,1,,,,,,,,,14,1,,,12,0,4,0,10,0,2,0,2,0,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,2,0,,,,,7,0,5,0,,,1,0,,,,,0,0,,,2,0,13,0,,,1,0,,,5,0,,,,,,,,,,,,,,,,,,,4,0,0,0,,,2,0,,,1,0,,,,
7,129,2015-Gettinger-J Clin Oncol,Nivolumab,PD-1,Lung cancer,33,1 mg/kg Q2W,3,3,21,5,1,0,,,,,3,0,0,0,8,3,3,0,,,,,,,,,,,,,0,0,,,,,,,3,2,0,0,1,0,,,,,4,1,,,3,1,0,0,4,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,0,,,1,0,0,0,,,,,,,,,,,,,0,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,1,0,,,,,2,0
7,,2015-Gettinger-J Clin Oncol,Nivolumab,PD-1,Lung cancer,37,3 mg/kg Q2W,3,3,25,5,0,0,,,,,2,0,1,0,7,0,0,0,,,,,,,,,,,,,0,0,,,,,,,1,0,3,0,2,0,,,,,4,0,,,5,0,2,0,4,0,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,2,0,3,0,,,,,,,,,,,,,0,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,1,1,,,,,1,0
7,,2015-Gettinger-J Clin Oncol,Nivolumab,PD-1,Lung cancer,59,10 mg/kg Q2W,3,3,45,8,3,0,,,,,3,0,3,0,16,1,8,0,,,,,,,,,,,,,4,0,,,,,,,4,1,3,0,2,0,,,,,8,0,,,4,0,2,0,5,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,2,0,6,0,,,,,,,,,,,,,7,0,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,2,0,,,,,2,0
8,20,2015-Hamanishi-J Clin Oncol,Nivolumab,PD-1,Other cancer,10,1 mg/kg Q2W,3,3,9,4,,,,,,,2,1,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,3,0,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,3,,,,,,
8,,2015-Hamanishi-J Clin Oncol,Nivolumab,PD-1,Other cancer,10,3 mg/kg Q2W,3,3,10,4,,,,,,,4,0,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,2,1,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,,,,,,
9,34,2015-McDermott-J Clin Oncol,Nivolumab,PD-1,GU cancer,18,1 mg/kg Q2W,1,1,15,2,,,,,2,0,2,0,0,0,6,0,4,0,1,0,,,,,,,1,0,,,,,,,,,,,,,3,0,,,,,,,3,0,,,1,0,,,5,0,,,2,0,,,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,,,2,1,7,0,,,,,3,0,,,,,0,0,,,,,1,0,1,0,,,3,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
9,,2015-McDermott-J Clin Oncol,Nivolumab,PD-1,GU cancer,16,10 mg/kg Q2W,1,1,14,4,,,,,0,0,1,0,2,0,8,0,2,1,1,0,,,,,,,1,0,,,,,,,,,,,,,0,0,,,,,,,0,0,,,1,0,,,1,0,,,0,0,,,2,1,2,0,2,1,,,,,,,,,,,,,,,,,,,1,0,,,1,0,2,0,,,,,1,0,,,,,2,0,,,,,1,0,1,0,,,0,0,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
10,406,2015-Motzer-N Engl J Med,Nivolumab,PD-1,GU cancer,406,3 mg/kg Q2W,40,40,319,76,,,,,,,,,,,134,10,57,0,,,,,,,,,,,8,0,11,0,,,,,17,0,16,6,30,3,36,0,,,,,48,2,,,57,1,,,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2,,,,,,,,,,,,,,,,,11,0,,,,,,,,,,,,,,,,,,,,,9,5,,,,,,,,,32,7,,,,,,,,
11,54,2015-Motzer-J Clin Oncol,Nivolumab,PD-1,GU cancer,54,10 mg/kg Q3W,5,5,42,7,,,9,0,,,,,,,19,0,6,0,,,,,,,,,6,0,,,,,,,,,,,3,0,,,,,,,,,2,0,,,7,0,,,8,0,,,,,,,3,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,8,1,7,0,,,,,7,0,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,
12,117,2015-Rizvi-Lancet Oncol,Nivolumab,PD-1,Lung cancer,117,3 mg/kg Q2W,5,5,87,20,,,,,,,,,,,38,5,7,1,,,,,,,,,7,0,,,,,,,,,,,6,4,6,0,,,,,,,22,0,,,18,0,7,0,12,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,13,1,,,,,,,,,,,,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,
13,206,2015-Robert-N Engl J Med2,Nivolumab,PD-1,Melanoma,206,3 mg/kg Q2W,4,4,153,24,9,0,6,0,,,15,0,,,41,0,35,1,,,,,1,0,,,,,,,,,,,1,0,,,,,,,6,0,,,,,11,0,,,34,0,13,1,33,2,22,0,8,0,,,,,2,1,,,,,,,,,,,,,,,,,,,9,0,6,0,,,12,0,31,1,6,1,13,0,9,0,22,0,7,0,9,0,,,21,0,6,0,,,,,9,0,7,1,,,,,,,,,,,,,,,,,,,1,0,0,0,9,0,5,0,0,0,,,,
14,98,2016-Antonia-Lancet Oncol,Nivolumab,PD-1,Lung cancer,98,3 mg/kg Q2W,9,9,52,13,,,,,,,,,,,11,1,11,0,,,,,,,,,,,,,,,,,,,,,3,1,1,0,,,,,,,6,0,,,7,0,3,1,7,0,,,,,,,3,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,0,,,,,,,,,,,,,,,,,,,,,3,0,2,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,2,0,,
15,69,2016-Choueiri-Clin Cancer Res,Nivolumab,PD-1,GU cancer,22,2 mg/kg Q3W,3,3,22,8,1,0,,,,,,,,,13,2,4,0,,,,,,,,,,,,,,,,,,,,,0,0,,,8,0,,,,,,,,,7,0,,,4,0,6,1,,,0,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,
15,,2016-Choueiri-Clin Cancer Res,Nivolumab,PD-1,GU cancer,23,10 mg/kg Q3W,3,3,23,13,4,0,,,,,,,,,15,0,4,0,,,,,,,,,,,,,,,,,,,,,2,1,,,4,0,,,,,,,,,6,0,,,5,1,4,0,,,2,1,2,1,3,2,,,,,,,,,,,2,1,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,
15,,2016-Choueiri-Clin Cancer Res,Nivolumab,PD-1,GU cancer,24,10 mg/kg Q3W,3,3,24,12,5,1,,,,,,,,,13,1,4,0,,,,,,,,,,,,,,,,,,,,,3,0,,,5,0,,,,,,,,,10,0,,,9,1,6,0,,,2,2,2,0,2,0,,,,,,,,,,,2,0,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,
16,236,2016-Ferris-N Engl J Med,Nivolumab,PD-1,Other cancer,236,3 mg/kg Q2W,11,11,139,31,,,,,,,,,,,33,5,17,0,4,0,,,,,,,,,5,1,3,0,,,,,,,,,,,,,,,,,17,0,,,20,0,8,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,,,,,7,0,,,0,0,,,,,10,1,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,0,0,,,,
17,52,2016-Gettinger-J Clin Oncol,Nivolumab,PD-1,Lung cancer,52,3 mg/kg Q2W,2,2,37,10,2,0,1,0,,,,,,,15,0,6,0,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,7,0,3,0,6,1,3,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5,0,10,2,,,2,0,,,,,,,,,,,,,,,,,2,0,3,0,1,0,,,2,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,
18,81,2016-Lesokhin-J Clin Oncol,Nivolumab,PD-1,Hematologic malignancy,81,mixed,4,4,53,17,,,,,,,6,0,,,14,0,7,0,,,,,,,,,,,,,3,1,,,,,,,9,3,,,,,,,,,7,0,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,5,3,3,1,3,1,,,,
19,78,2016-Sharma-Lancet Oncol,Nivolumab,PD-1,GU cancer,78,3 mg/kg Q2W,7,7,63,17,,,,,,,,,,,28,2,23,0,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,10,1,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,9,0,,,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,3,1,,,8,0,5,2,3,2,,2,,
20,61,2016-Weber-Cancer Immu Res,Nivolumab,PD-1,Melanoma,61,3 mg/kg Q2W,3,3, ,,5,0,,,0,0,10,0,5,0,33,1,35,1,3,0,,,,,,,4,0,,,,,,,,,,,0,0,4,0,1,0,,,,,,,2,1,10,0,5,0,20,0,4,0,3,0,0,0,4,0,3,0,3,0,,,1,0,0,0,,,,,,,,,1,0,1,0,1,0,,,11,0,,,48,4,2,0,4,0,,,,,8,0,,,,,,,,,,,5,0,3,0,,,,,,,4,2,,,,,0,0,,,3,0,4,0,1,0,8,1,2,1,2,0,9,1,,
21,12,2017-Ben-Ami-Cancer,Nivolumab,PD-1,Other cancer,12,3 mg/kg Q2W,12,0,,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,267,2017-Carbone-N Engl J Med,Nivolumab,PD-1,Lung cancer,267,3 mg/kg Q2W,26,26,190,47,,,,,,,,,,,56,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,,,31,1,15,0,37,3,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,,,,,,,,,,,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,9,1,,,,,,,,
23,33,2017-El-Khoueiry-Lancet,Nivolumab,PD-1,GI cancer,10,1 mg/kg Q2W,1,1,8,5,,,,,,,,,,,1,0,0,0,0,0,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,1,0,,,0,0,,,0,0,,,,,,,1,0,3,2,,,,,,,4,4,4,1,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,0,,
23,,2017-El-Khoueiry-Lancet,Nivolumab,PD-1,GI cancer,10,3 mg/kg Q2W,1,1,9,2,,,,,,,,,,,0,0,1,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,1,0,,,1,0,,,,,,,2,1,1,1,,,,,,,2,1,2,1,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,
23,,2017-El-Khoueiry-Lancet,Nivolumab,PD-1,GI cancer,13,10 mg/kg Q2W,1,1,11,0,,,,,,,,,,,0,0,3,0,2,0,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,1,0,,,1,0,,,1,0,,,,,,,2,0,4,0,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,1,0,,
